XJ, 20.0, 20.1, 20.3, 20.3, 20.3, 20.3, 20.3
LK, 65.0, 65.0, 64.9, 64.9, 64.9, 64.9, 64.9
WQ, 20.0, 22.7, 24.4, 24.4, 24.4, 24.4, 24.4
ZG, 15.0, 15.0, 15.1, 15.1, 15.1, 15.1, 15.1
MK, 45.0, 45.0, 45.0, 44.9, 44.9, 44.9, 44.9
LH, 65.0, 65.0, 64.9, 64.9, 64.9, 64.9, 64.9
XS, 10.0, 11.4, 11.4, 44.9, 44.9, 44.9, 44.9
NEA, 15.0, 15.3, 15.3, 44.8, 44.8, 44.8, 44.8
Price, 20.0, 20.7, 20.7, 25.9, 25.9, 25.9, 25.9
SASAC, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0
NAO, 20.0, 20.3, 20.3, 20.4, 20.4, 20.4, 20.4
MLR, 50.0, 50.0, 50.0, 49.9, 49.9, 49.9, 49.9
MEP, 15.0, 21.9, 21.9, 21.9, 21.9, 21.9, 21.9
MOF, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
SHX, 50.0, 50.0, 49.9, 49.9, 49.9, 49.9, 49.9
HLJ, 30.0, 30.1, 30.3, 30.3, 30.3, 30.3, 30.3
CNPCL, 20.0, 20.3, 20.6, 20.6, 20.6, 20.6, 20.6
CNPCM, 30.0, 30.1, 30.2, 30.2, 30.2, 30.2, 30.2
CNPCE, 45.0, 45.0, 44.9, 44.9, 44.9, 44.9, 44.9
CNPCO, 50.0, 50.0, 49.9, 49.8, 49.8, 49.8, 49.8
SP,  0.0,  0.1, 44.9, 44.9, 44.9, 44.9, 44.9
FC, 65.0, 65.0, 64.9, 64.9, 64.9, 64.9, 64.9
SPC, 45.0, 45.1, 45.1, 45.1, 45.1, 45.1, 45.1
WY, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0
CNC, 60.0, 60.0, 60.0, 25.9, 25.9, 25.9, 25.9
PSOE, 65.0, 20.7, 20.6, 20.6, 20.6, 20.6, 20.6
PSOES, 30.0, 30.1, 30.1, 30.2, 30.2, 30.2, 30.2
CPCIA, 55.0, 55.0, 55.0, 55.0, 20.6, 20.6, 20.6
CUCBM, 55.0, 55.0, 55.0, 55.0, 55.0, 20.6, 20.6
PDGA,  0.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0
PDPA, 60.0, 60.0, 20.8, 20.8, 20.8, 20.8, 20.8
IOC, 75.0, 75.0, 20.6, 20.6, 20.6, 20.6, 20.6
SH, 90.0, 20.1, 20.1, 20.1, 20.1, 20.1, 20.1
FSM, 70.0, 21.9, 21.9, 21.9, 21.9, 21.9, 21.9
