XJ, 30.0, 55.0, 55.0, 55.0, 41.6, 41.6, 41.6, 41.6, 41.6, 41.6
LK, 45.0, 51.5, 64.2, 47.0, 47.0, 41.7, 45.4, 45.4, 43.7, 43.7
ZG, 30.0, 50.8, 50.8, 50.8, 50.8, 42.0, 42.0, 42.0, 42.0, 42.0
MK, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 42.6, 42.6, 42.6
LH, 50.0, 56.1, 64.8, 46.9, 46.9, 41.9, 41.9, 41.9, 41.9, 41.9
XS, 15.0, 23.9, 34.5, 34.5, 53.4, 43.3, 43.3, 43.3, 43.3, 43.3
NEA, 20.0, 28.3, 41.1, 41.1, 41.1, 41.1, 41.1, 44.0, 44.0, 44.0
MLR, 60.0, 60.0, 51.7, 63.1, 54.6, 47.4, 43.5, 43.5, 43.5, 43.5
MEP, 30.0, 30.0, 50.9, 50.9, 50.9, 50.9, 42.8, 42.8, 42.8, 42.8
MOF, 45.0, 58.0, 45.1, 63.9, 51.8, 43.6, 46.3, 44.0, 44.0, 44.0
SHX, 50.0, 56.8, 47.5, 47.5, 47.5, 42.3, 42.3, 42.3, 42.3, 42.3
HLJ, 20.0, 21.8, 24.5, 37.7, 49.6, 43.8, 45.8, 44.1, 44.1, 44.1
PC, 15.0, 16.9, 18.7, 43.2, 53.9, 47.2, 43.5, 43.5, 43.5, 43.5
COG, 10.0, 10.2, 10.9, 14.2, 25.3, 25.3, 25.3, 25.3, 25.3, 25.3
WY, 15.0, 15.7, 16.9, 23.2, 35.9, 40.7, 43.2, 43.2, 43.2, 43.2
SPC, 15.0, 15.6, 16.9, 22.7, 35.4, 40.2, 42.8, 42.8, 42.8, 42.8
PSOE, 60.0, 52.8, 52.8, 52.8, 43.3, 43.3, 43.3, 43.3, 43.3, 43.3
CPCIA, 40.0, 44.6, 51.3, 51.3, 51.3, 45.5, 46.9, 45.0, 43.6, 43.6
CUCBM, 45.0, 45.0, 45.0, 45.0, 45.0, 40.3, 43.8, 43.8, 43.8, 43.8
USA,100.0, 23.9, 33.8, 33.8, 51.8, 42.7, 42.7, 42.7, 42.7, 42.7
USCC, 90.0, 90.0, 34.5, 34.5, 34.5, 43.3, 43.3, 43.3, 43.3, 43.3
EUCC, 90.0, 28.3, 42.6, 42.6, 42.6, 42.6, 42.6, 42.6, 42.6, 42.6
IOC, 90.0, 90.0, 90.0, 43.2, 43.2, 39.8, 43.5, 43.5, 43.5, 43.5
MY, 75.0, 75.0, 75.0, 63.1, 35.9, 41.7, 41.7, 41.7, 41.7, 42.9
ZD, 30.0, 30.0, 39.3, 39.3, 39.3, 45.4, 42.0, 42.0, 42.0, 42.0
ZGB, 20.0, 25.2, 32.9, 32.9, 41.6, 41.6, 41.6, 41.6, 43.7, 43.7
